Temperature (1/T) (K),Dark 1,Dark 2,Dark 3,Lit 1,Lit 2,Lit 3
0.003597122,-10.07425027,-10.61434459,-10.17773509,-9.992043614,-9.489997179,-9.861089822
0.003533569,-9.903204907,-9.884308691,-9.630040596,-10.04376553,-9.872591691,-9.790537536
0.003472222,-9.074935735,-9.42889378,-9.070880408,-9.404059974,-9.102295961,-9.112760044
0.003412969,-9.038195565,-9.059569361,-9.246692848,-8.971135373,-8.83227803,-8.800561487
0.003355705,-8.647087868,-8.530672898,-8.611098319,-8.511471337,-8.434315065,-8.589403121
0.00330033,-8.171382329,-8.149575043,-8.231518082,-8.281377793,-8.059977248,-8.22545993
0.003246753,-8.027180055,-7.917019637,-7.943630587,-7.988667991,-7.828552905,-8.03693389
