Temperature (1/T) (K),Dark 1,Dark 2,Dark 3,Lit 1,Lit 2,Lit 3
0.003597122,-7.658348685,-7.367281613,-7.465215119,-7.115638171,-7.090753324,-7.037798415
0.003533569,-7.134438657,-7.172705924,-7.045191306,-6.914954275,-6.723227677,-6.610350309
0.003472222,-6.801457703,-6.616537797,-6.662986144,-6.447017536,-6.384363113,-6.391942114
0.003412969,-6.305287379,-6.267483387,-6.261295526,-6.083639714,-6.094370739,-6.017955704
0.003355705,-6.033321753,-5.969295988,-5.90927237,-5.9156227,-5.779497313,-5.679420576
0.00330033,-5.730695868,-5.71005956,-5.685932831,-5.59377436,-5.549982634,-5.543669407
0.003246753,-5.510972285,-5.484568713,-5.475116537,-5.547986581,-5.502956242,-5.399006272
