Temperature (K),Dark 1,Dark 2,Dark 3,Lit 1,Lit 2,Lit 3
278,,,,,,
283,,,,,,
288,,,,,,
293,,,,,,
298,,,,,,
303,,,,,,
308,,,,,,
313,,,,,,
