Temperature (1/T) (K),Dark 1,Dark 2,Dark 3,Lit 1,Lit 2,Lit 3
0.003597122,-7.499398291,-7.909913503,-8.213763465,-7.311728694,-7.337874331,-7.306355515
0.003533569,-7.463632481,-7.767712437,-7.795997835,-6.88218397,-7.079671793,-7.228048156
0.003472222,-7.141633323,-7.308232846,-7.520347063,-6.613351059,-6.80879017,-6.905085236
0.003412969,-6.935894952,-7.150544473,-7.353562548,-6.320385842,-6.51196136,-6.671159948
0.003355705,-6.607377296,-6.977767366,-6.992304771,-6.056987893,-6.457043082,-6.474339925
0.00330033,-6.248731593,-6.762155909,-6.831589078,-5.978649324,-6.268701906,-6.382890059
0.003246753,-6.161975604,-6.483634114,-6.69736807,-5.747520649,-6.10868443,-6.270045305
