Temperature (1/T) (K),Dark 1,Dark 2,Dark 3,Lit 1,Lit 2,Lit 3
0.003597122,-7.759200685,-7.881925506,-7.768634701,-7.190371929,-7.470814624,-7.52801445
0.003533569,-7.417351329,-7.441225111,-7.434536135,-7.026851274,-7.037999642,-7.085288713
0.003472222,-7.015085944,-7.051485487,-7.05372112,-6.610769924,-6.639935012,-6.574638417
0.003412969,-6.611448053,-6.580273802,-6.589635106,-6.276754525,-6.216498878,-6.283860438
0.003355705,-6.238193043,-6.198788307,-6.31308159,-5.926215209,-5.991632051,-5.951037425
0.00330033,-5.961092118,-5.930878343,-5.929633264,-5.735355265,-5.675909954,-5.670560631
0.003246753,-5.574803842,-5.593578765,-5.644519164,-5.566823568,-5.476152162,-5.546776054
